Site,Date,Plot,Species,% Cover,Notes,Block,Shelter,Plot_number,Population,Treatment,Scientific_Name,Native_Status,Growth_Habit,Growth_2,Perenniality,Rating,Rating_2,Source
OTL,4/13/25,F1,CLAPUR,1,2,1,F,1,ANGELO,Control,Clarkia purpurea,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/13/25,F1,LACSER,1,1,1,F,1,ANGELO,Control,Lactuca serriola,Non-native,Forb,Forb,Annual,Non-native,Non-native,CalFlora
OTL,4/13/25,F1,EPI-1,1,1,1,F,1,ANGELO,Control,Epilobium brachycarpum,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/13/25,F1,AIRCAR,1,2,1,F,1,ANGELO,Control,Aira caryophyllea,Non-native,Grass,Grass,Annual,Non-native,Non-native,CalFlora
OTL,4/13/25,F2,Bare,45,NA,1,F,2,WWP,Control,Bare Ground,NA,NA,NA,NA,NA,NA,NA
OTL,4/13/25,F2,Litter,2,NA,1,F,2,WWP,Control,Litter,NA,NA,NA,NA,NA,NA,NA
OTL,4/13/25,F2,AVEBAR,10,4,1,F,2,WWP,Control,Avena barbata,Non-native,Grass,Grass,Annual,Moderate,Invasive,Cal IPC
OTL,4/13/25,F2,BRODIA,9,4,1,F,2,WWP,Control,Bromus diandrus,Non-native,Grass,Grass,Annual,Moderate,Invasive,Cal IPC
OTL,4/13/25,F2,BROMAD,5,5,1,F,2,WWP,Control,Bromus madritensis,Non-native,Grass,Grass,Annual,High,Invasive,Cal IPC
OTL,4/13/25,F2,BROARE,2,9,1,F,2,WWP,Control,Bromus arenarius,Non-native,Grass,Grass,Annual,Non-native,Non-native,CalFlora
OTL,4/13/25,F2,EROCIC,2,6,1,F,2,WWP,Control,Erodium cicutarium,Non-native,Forb,Forb,Annual,Non-native,Non-native,CalFlora
OTL,4/13/25,F2,PHATAN,1,4,1,F,2,WWP,Control,Phacelia tanacetifolia,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/13/25,F2,SALCOL,1,3,1,F,2,WWP,Control,NA,NA,NA,NA,NA,NA,NA,NA
OTL,4/13/25,F2,MIRMUL,1,1,1,F,2,WWP,Control,Mirabilis multiflora,Native,Forb,Forb,Perennial,Native,Native,CalFlora
OTL,4/13/25,F2,GALPAR,1,1,1,F,2,WWP,Control,Galium parisiense,Non-native,Forb,Forb,Annual,Non-native,Non-native,CalFlora
OTL,4/13/25,F2,AMSMEN,1,8,1,F,2,WWP,Control,Amsinckia menziesii,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/13/25,F3,Bare,10,NA,1,F,3,BORR,Control,Bare Ground,NA,NA,NA,NA,NA,NA,NA
OTL,4/13/25,F3,Litter,0,NA,1,F,3,BORR,Control,Litter,NA,NA,NA,NA,NA,NA,NA
OTL,4/13/25,F3,AVEBAR,15,4,1,F,3,BORR,Control,Avena barbata,Non-native,Grass,Grass,Annual,Moderate,Invasive,Cal IPC
OTL,4/13/25,F3,BRODIA,5,3,1,F,3,BORR,Control,Bromus diandrus,Non-native,Grass,Grass,Annual,Moderate,Invasive,Cal IPC
OTL,4/13/25,F3,BROHOR,4,4,1,F,3,BORR,Control,Bromus hordeaceus,Non-native,Grass,Grass,Annual,Limited,Invasive,Cal IPC
OTL,4/13/25,F3,CLAPUR,3,3,1,F,3,BORR,Control,Clarkia purpurea,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/13/25,F3,MADGRA,6,1,1,F,3,BORR,Control,Madia gracilis,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/13/25,F3,VISCAT,5,1,1,F,3,BORR,Control,NA,NA,NA,NA,NA,NA,NA,NA
OTL,4/13/25,F3,TORARU,2,1,1,F,3,BORR,Control,Torilis arvensis,Non-native,Forb,Forb,Annual,Moderate,Invasive,Cal IPC
OTL,4/13/25,F3,TRIHIR,2,1,1,F,3,BORR,Control,Trifolium hirtum,Non-native,Forb,Nfixer,Annual,Limited,Invasive,Cal IPC
OTL,4/13/25,F3,EROBOT,3,5,1,F,3,BORR,Control,Erodium botrys,Non-native,Forb,Forb,Annual,Non-native,Non-native,CalFlora
OTL,4/13/25,F3,GERDIS,1,6,1,F,3,BORR,Control,Geranium dissectum,Non-native,Forb,Forb,Annual,Limited,Invasive,Cal IPC
OTL,4/13/25,F3,DAUPUS,1,1,1,F,3,BORR,Control,Daucus pusillus,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/13/25,F4,Bare,13,NA,1,F,4,MCL,Control,Bare Ground,NA,NA,NA,NA,NA,NA,NA
OTL,4/13/25,F4,Litter,0,NA,1,F,4,MCL,Control,Litter,NA,NA,NA,NA,NA,NA,NA
OTL,4/13/25,F4,AVEBAR,8,4,1,F,4,MCL,Control,Avena barbata,Non-native,Grass,Grass,Annual,Moderate,Invasive,Cal IPC
OTL,4/13/25,F4,BRODIA,13,3,1,F,4,MCL,Control,Bromus diandrus,Non-native,Grass,Grass,Annual,Moderate,Invasive,Cal IPC
OTL,4/13/25,B5,HOLVIR,6,1,2,B,5,MCL,Drought,Holocarpha virgata,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/13/25,B5,TRIHIR,2,2,2,B,5,MCL,Drought,Trifolium hirtum,Non-native,Forb,Nfixer,Annual,Limited,Invasive,Cal IPC
OTL,4/13/25,B5,MICCAL,1,6,2,B,5,MCL,Drought,Micropus californicus,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/13/25,B5,ELYCAP,0,NA,2,B,5,MCL,Drought,Elymus caput-medusae,Non-native,Grass,Grass,Annual,High,Invasive,Cal IPC
OTL,4/13/25,B5,PLAERE,1,9,2,B,5,MCL,Drought,Plantago erecta,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/13/25,B5,EROBOT,2,6,2,B,5,MCL,Drought,Erodium botrys,Non-native,Forb,Forb,Annual,Non-native,Non-native,CalFlora
OTL,4/13/25,B5,CLAPUR,1,1,2,B,5,MCL,Drought,Clarkia purpurea,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/13/25,B5,EPI-1,1,1,2,B,5,MCL,Drought,Epilobium brachycarpum,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/13/25,B5,LACSER,1,1,2,B,5,MCL,Drought,Lactuca serriola,Non-native,Forb,Forb,Annual,Non-native,Non-native,CalFlora
OTL,4/13/25,B6,Bare,7,NA,2,B,6,SEDG,Drought,Bare Ground,NA,NA,NA,NA,NA,NA,NA
OTL,4/13/25,B6,Litter,3,NA,2,B,6,SEDG,Drought,Litter,NA,NA,NA,NA,NA,NA,NA
OTL,4/13/25,B6,ESCCAL,5,4,2,B,6,SEDG,Drought,Eschscholzia californica,Native,Forb,Forb,Perennial,Native,Native,CalFlora
OTL,4/13/25,B6,BRODIA,6,6,2,B,6,SEDG,Drought,Bromus diandrus,Non-native,Grass,Grass,Annual,Moderate,Invasive,Cal IPC
OTL,4/13/25,B6,BROHOR,3,6,2,B,6,SEDG,Drought,Bromus hordeaceus,Non-native,Grass,Grass,Annual,Limited,Invasive,Cal IPC
OTL,4/13/25,B6,BROMAD,5,8,2,B,6,SEDG,Drought,Bromus madritensis,Non-native,Grass,Grass,Annual,High,Invasive,Cal IPC
OTL,4/13/25,B6,AVEFAT,3,10,2,B,6,SEDG,Drought,Avena fatua,Non-native,Grass,Grass,Annual,Moderate,Invasive,Cal IPC
OTL,4/13/25,B6,STIPUL,4,4,2,B,6,SEDG,Drought,Stipa pulchra,Native,Grass,Grass,Perennial,Native,Native,CalFlora
OTL,4/13/25,B6,CENMEL,9,2,2,B,6,SEDG,Drought,Centaurea melitensis,Non-native,Forb,Forb,Annual,Moderate,Invasive,Cal IPC
OTL,4/13/25,B6,MICCAL,1,7,2,B,6,SEDG,Drought,Micropus californicus,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/13/25,B6,CORFIL,8,1,2,B,6,SEDG,Drought,Corethrogyne filaginafolia,Native,Forb,Forb,Perennial,Native,Native,CalFlora
OTL,4/13/25,B6,EROCIC,4,6,2,B,6,SEDG,Drought,Erodium cicutarium,Non-native,Forb,Forb,Annual,Non-native,Non-native,CalFlora
OTL,4/13/25,B6,EPI-1,1,1,2,B,6,SEDG,Drought,Epilobium brachycarpum,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/13/25,B7,Bare,20,NA,2,B,7,BORR,Drought,Bare Ground,NA,NA,NA,NA,NA,NA,NA
OTL,4/13/25,B7,Litter,4,NA,2,B,7,BORR,Drought,Litter,NA,NA,NA,NA,NA,NA,NA
OTL,4/13/25,B7,AVEBAR,3,3,2,B,7,BORR,Drought,Avena barbata,Non-native,Grass,Grass,Annual,Moderate,Invasive,Cal IPC
OTL,4/13/25,B7,BRODIA,4,2,2,B,7,BORR,Drought,Bromus diandrus,Non-native,Grass,Grass,Annual,Moderate,Invasive,Cal IPC
OTL,4/13/25,B7,BROHOR,3,5,2,B,7,BORR,Drought,Bromus hordeaceus,Non-native,Grass,Grass,Annual,Limited,Invasive,Cal IPC
OTL,4/13/25,B7,CLAPUR,2,4,2,B,7,BORR,Drought,Clarkia purpurea,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/13/25,B7,TORARV,18,1,2,B,7,BORR,Drought,Torilis arvensis,Non-native,Forb,Forb,Annual,Moderate,Invasive,Cal IPC
OTL,4/13/25,B7,MADGRA,4,2,2,B,7,BORR,Drought,Madia gracilis,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/13/25,B7,GERDIS,5,7,2,B,7,BORR,Drought,Geranium dissectum,Non-native,Forb,Forb,Annual,Limited,Invasive,Cal IPC
OTL,4/13/25,B7,DAUPUS,5,1,2,B,7,BORR,Drought,Daucus pusillus,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/13/25,B7,TRIHIR,1,2,2,B,7,BORR,Drought,Trifolium hirtum,Non-native,Forb,Nfixer,Annual,Limited,Invasive,Cal IPC
OTL,4/13/25,B8,Bare,4,NA,2,B,8,WWP,Drought,Bare Ground,NA,NA,NA,NA,NA,NA,NA
OTL,4/13/25,B8,Litter,4,NA,2,B,8,WWP,Drought,Litter,NA,NA,NA,NA,NA,NA,NA
OTL,4/13/25,B8,AVEBAR,3,4,2,B,8,WWP,Drought,Avena barbata,Non-native,Grass,Grass,Annual,Moderate,Invasive,Cal IPC
OTL,4/13/25,B8,BRODIA,20,4,2,B,8,WWP,Drought,Bromus diandrus,Non-native,Grass,Grass,Annual,Moderate,Invasive,Cal IPC
OTL,4/13/25,B8,BROMAD,20,5,2,B,8,WWP,Drought,Bromus madritensis,Non-native,Grass,Grass,Annual,High,Invasive,Cal IPC
OTL,4/13/25,B8,EROCIC,15,5,2,B,8,WWP,Drought,Erodium cicutarium,Non-native,Forb,Forb,Annual,Non-native,Non-native,CalFlora
OTL,4/13/25,B8,EPI-1,1,1,2,B,8,WWP,Drought,Epilobium brachycarpum,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/13/25,B8,PHATAN,1,8,2,B,8,WWP,Drought,Phacelia tanacetifolia,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/13/25,B8,SALCOL,2,2,2,B,8,WWP,Drought,NA,NA,NA,NA,NA,NA,NA,NA
OTL,4/13/25,B8,LACSER,1,1,2,B,8,WWP,Drought,Lactuca serriola,Non-native,Forb,Forb,Annual,Non-native,Non-native,CalFlora
OTL,4/13/25,B8,BROARE,3,8,2,B,8,WWP,Drought,Bromus arenarius,Non-native,Grass,Grass,Annual,Non-native,Non-native,CalFlora
OTL,4/13/25,F8,Bare,6,NA,1,F,8,BORR,Control,Bare Ground,NA,NA,NA,NA,NA,NA,NA
OTL,4/13/25,F8,Litter,0,NA,1,F,8,BORR,Control,Litter,NA,NA,NA,NA,NA,NA,NA
OTL,4/13/25,F8,AVEBAR,12,4,1,F,8,BORR,Control,Avena barbata,Non-native,Grass,Grass,Annual,Moderate,Invasive,Cal IPC
OTL,4/13/25,F8,BRODIA,12,2,1,F,8,BORR,Control,Bromus diandrus,Non-native,Grass,Grass,Annual,Moderate,Invasive,Cal IPC
OTL,4/13/25,F8,BROHOR,2,5,1,F,8,BORR,Control,Bromus hordeaceus,Non-native,Grass,Grass,Annual,Limited,Invasive,Cal IPC
OTL,4/13/25,F8,VISCAT,5,5,1,F,8,BORR,Control,NA,NA,NA,NA,NA,NA,NA,NA
OTL,4/13/25,F8,GERDIS,1,5,1,F,8,BORR,Control,Geranium dissectum,Non-native,Forb,Forb,Annual,Limited,Invasive,Cal IPC
OTL,4/13/25,F8,MADGRA,5,1,1,F,8,BORR,Control,Madia gracilis,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/13/25,F8,DAUPUS,1,1,1,F,8,BORR,Control,Daucus pusillus,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/13/25,F8,TORARV,1,1,1,F,8,BORR,Control,Torilis arvensis,Non-native,Forb,Forb,Annual,Moderate,Invasive,Cal IPC
OTL,4/13/25,F8,CLAPUR,1,2,1,F,8,BORR,Control,Clarkia purpurea,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/13/25,F8,TRIHIR,2,1,1,F,8,BORR,Control,Trifolium hirtum,Non-native,Forb,Nfixer,Annual,Limited,Invasive,Cal IPC
OTL,4/13/25,F8,EROBOT,1,5,1,F,8,BORR,Control,Erodium botrys,Non-native,Forb,Forb,Annual,Non-native,Non-native,CalFlora
OTL,4/14/25,G1,Bare,10,NA,2,G,1,BORR,Control,Bare Ground,NA,NA,NA,NA,NA,NA,NA
OTL,4/14/25,G1,Litter,1,NA,2,G,1,BORR,Control,Litter,NA,NA,NA,NA,NA,NA,NA
OTL,4/14/25,G1,AVEBAR,8,3,2,G,1,BORR,Control,Avena barbata,Non-native,Grass,Grass,Annual,Moderate,Invasive,Cal IPC
OTL,4/14/25,G1,BRODIA,10,3,2,G,1,BORR,Control,Bromus diandrus,Non-native,Grass,Grass,Annual,Moderate,Invasive,Cal IPC
OTL,4/14/25,G1,VISCAT,11,5,2,G,1,BORR,Control,NA,NA,NA,NA,NA,NA,NA,NA
OTL,4/14/25,G1,BROHOR,7,5,2,G,1,BORR,Control,Bromus hordeaceus,Non-native,Grass,Grass,Annual,Limited,Invasive,Cal IPC
OTL,4/14/25,G1,CLAPUR,2,4,2,G,1,BORR,Control,Clarkia purpurea,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/14/25,G1,TORARV,1,1,2,G,1,BORR,Control,Torilis arvensis,Non-native,Forb,Forb,Annual,Moderate,Invasive,Cal IPC
OTL,4/14/25,G1,EROBOT,1,5,2,G,1,BORR,Control,Erodium botrys,Non-native,Forb,Forb,Annual,Non-native,Non-native,CalFlora
OTL,4/14/25,G1,DAUPUS,1,1,2,G,1,BORR,Control,Daucus pusillus,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/14/25,G1,GERDIS,2,5,2,G,1,BORR,Control,Geranium dissectum,Non-native,Forb,Forb,Annual,Limited,Invasive,Cal IPC
OTL,4/14/25,G1,TRIHIR,1,1,2,G,1,BORR,Control,Trifolium hirtum,Non-native,Forb,Nfixer,Annual,Limited,Invasive,Cal IPC
OTL,4/14/25,G1,MADGRA,2,1,2,G,1,BORR,Control,Madia gracilis,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/14/25,G2,Bare,9,NA,2,G,2,MCL,Control,Bare Ground,NA,NA,NA,NA,NA,NA,NA
OTL,4/14/25,G2,Litter,1,NA,2,G,2,MCL,Control,Litter,NA,NA,NA,NA,NA,NA,NA
OTL,4/14/25,G2,AVEBAR,2,4,2,G,2,MCL,Control,Avena barbata,Non-native,Grass,Grass,Annual,Moderate,Invasive,Cal IPC
OTL,4/14/25,G2,BROMAD,5,5,2,G,2,MCL,Control,Bromus madritensis,Non-native,Grass,Grass,Annual,High,Invasive,Cal IPC
OTL,4/14/25,G2,BROHOR,1,5,2,G,2,MCL,Control,Bromus hordeaceus,Non-native,Grass,Grass,Annual,Limited,Invasive,Cal IPC
OTL,4/14/25,G2,BRODIA,4,2,2,G,2,MCL,Control,Bromus diandrus,Non-native,Grass,Grass,Annual,Moderate,Invasive,Cal IPC
OTL,4/14/25,G2,ELYCAP,1,1,2,G,2,MCL,Control,Elymus caput-medusae,Non-native,Grass,Grass,Annual,High,Invasive,Cal IPC
OTL,4/14/25,G2,PLAERE,1,8,2,G,2,MCL,Control,Plantago erecta,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/14/25,G2,LUPBIC,20,6,2,G,2,MCL,Control,Lupinus bicolor,Native,Forb,Nfixer,Annual,Native,Native,CalFlora
OTL,4/14/25,G2,HOLVIR,5,1,2,G,2,MCL,Control,Holocarpha virgata,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/14/25,G2,MICCAL,1,5,2,G,2,MCL,Control,Micropus californicus,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/14/25,G2,EROBOT,3,5,2,G,2,MCL,Control,Erodium botrys,Non-native,Forb,Forb,Annual,Non-native,Non-native,CalFlora
OTL,4/14/25,G2,CLAPUR,1,1,2,G,2,MCL,Control,Clarkia purpurea,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/14/25,G2,UNK-CAR,1,1,2,G,2,MCL,Control,Anthriscus caucalis,Non-native,Forb,Forb,Annual,Non-native,Non-native,CalFlora
OTL,4/14/25,G2,TRIHIR,3,2,2,G,2,MCL,Control,Trifolium hirtum,Non-native,Forb,Nfixer,Annual,Limited,Invasive,Cal IPC
OTL,4/14/25,G2,CENMEL,1,1,2,G,2,MCL,Control,Centaurea melitensis,Non-native,Forb,Forb,Annual,Moderate,Invasive,Cal IPC
OTL,4/14/25,G2,EPI-1,1,1,2,G,2,MCL,Control,Epilobium brachycarpum,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/13/25,F4,BROHOR,4,5,1,F,4,MCL,Control,Bromus hordeaceus,Non-native,Grass,Grass,Annual,Limited,Invasive,Cal IPC
OTL,4/13/25,F4,BROMAD,2,5,1,F,4,MCL,Control,Bromus madritensis,Non-native,Grass,Grass,Annual,High,Invasive,Cal IPC
OTL,4/13/25,F4,ELYCAP,4,1,1,F,4,MCL,Control,Elymus caput-medusae,Non-native,Grass,Grass,Annual,High,Invasive,Cal IPC
OTL,4/13/25,F4,PLAERE,7,6,1,F,4,MCL,Control,Plantago erecta,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/13/25,F4,CLAPUR,2,1,1,F,4,MCL,Control,Clarkia purpurea,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/13/25,F4,EROBOT,5,5,1,F,4,MCL,Control,Erodium botrys,Non-native,Forb,Forb,Annual,Non-native,Non-native,CalFlora
OTL,4/13/25,F4,MICCAL,1,4,1,F,4,MCL,Control,Micropus californicus,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/13/25,F4,TRIHIR,1,1,1,F,4,MCL,Control,Trifolium hirtum,Non-native,Forb,Nfixer,Annual,Limited,Invasive,Cal IPC
OTL,4/13/25,F5,Bare,20,NA,1,F,5,MCL,Control,Bare Ground,NA,NA,NA,NA,NA,NA,NA
OTL,4/13/25,F5,Litter,0,NA,1,F,5,MCL,Control,Litter,NA,NA,NA,NA,NA,NA,NA
OTL,4/13/25,F5,AVEBAR,11,4,1,F,5,MCL,Control,Avena barbata,Non-native,Grass,Grass,Annual,Moderate,Invasive,Cal IPC
OTL,4/13/25,F5,BRODIA,11,2,1,F,5,MCL,Control,Bromus diandrus,Non-native,Grass,Grass,Annual,Moderate,Invasive,Cal IPC
OTL,4/13/25,F5,BROHOR,3,5,1,F,5,MCL,Control,Bromus hordeaceus,Non-native,Grass,Grass,Annual,Limited,Invasive,Cal IPC
OTL,4/13/25,F5,BROMAD,2,5,1,F,5,MCL,Control,Bromus madritensis,Non-native,Grass,Grass,Annual,High,Invasive,Cal IPC
OTL,4/13/25,F5,ELYCAP,4,1,1,F,5,MCL,Control,Elymus caput-medusae,Non-native,Grass,Grass,Annual,High,Invasive,Cal IPC
OTL,4/13/25,F5,PLAERE,2,5,1,F,5,MCL,Control,Plantago erecta,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/13/25,F5,CLAPUR,1,1,1,F,5,MCL,Control,Clarkia purpurea,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/13/25,F5,MICCAL,1,4,1,F,5,MCL,Control,Micropus californicus,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/13/25,F5,TRIHIR,2,2,1,F,5,MCL,Control,Trifolium hirtum,Non-native,Forb,Nfixer,Annual,Limited,Invasive,Cal IPC
OTL,4/13/25,F5,EROBOT,1,5,1,F,5,MCL,Control,Erodium botrys,Non-native,Forb,Forb,Annual,Non-native,Non-native,CalFlora
OTL,4/13/25,F5,LUPBIC,1,6,1,F,5,MCL,Control,Lupinus bicolor,Native,Forb,Nfixer,Annual,Native,Native,CalFlora
OTL,4/13/25,F6,Bare,8,NA,1,F,6,SEDG,Control,Bare Ground,NA,NA,NA,NA,NA,NA,NA
OTL,4/13/25,F6,Litter,2,NA,1,F,6,SEDG,Control,Litter,NA,NA,NA,NA,NA,NA,NA
OTL,4/13/25,F6,AVEBAR,5,4,1,F,6,SEDG,Control,Avena barbata,Non-native,Grass,Grass,Annual,Moderate,Invasive,Cal IPC
OTL,4/13/25,F6,AVEFAT,3,5,1,F,6,SEDG,Control,Avena fatua,Non-native,Grass,Grass,Annual,Moderate,Invasive,Cal IPC
OTL,4/13/25,F6,CORFIL,4,1,1,F,6,SEDG,Control,Corethrogyne filaginafolia,Native,Forb,Forb,Perennial,Native,Native,CalFlora
OTL,4/13/25,F6,BRODIA,11,5,1,F,6,SEDG,Control,Bromus diandrus,Non-native,Grass,Grass,Annual,Moderate,Invasive,Cal IPC
OTL,4/13/25,F6,BROHOR,3,5,1,F,6,SEDG,Control,Bromus hordeaceus,Non-native,Grass,Grass,Annual,Limited,Invasive,Cal IPC
OTL,4/13/25,F6,BROMAD,1,5,1,F,6,SEDG,Control,Bromus madritensis,Non-native,Grass,Grass,Annual,High,Invasive,Cal IPC
OTL,4/13/25,F6,STIPUL,2,4,1,F,6,SEDG,Control,Stipa pulchra,Native,Grass,Grass,Perennial,Native,Native,CalFlora
OTL,4/13/25,F6,MICCAl,1,6,1,F,6,SEDG,Control,Micropus californicus,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/13/25,F6,CENMEL,2,1,1,F,6,SEDG,Control,Centaurea melitensis,Non-native,Forb,Forb,Annual,Moderate,Invasive,Cal IPC
OTL,4/13/25,F6,UNK-CAR,1,1,1,F,6,SEDG,Control,Anthriscus caucalis,Non-native,Forb,Forb,Annual,Non-native,Non-native,CalFlora
OTL,4/13/25,F6,LACSER,1,1,1,F,6,SEDG,Control,Lactuca serriola,Non-native,Forb,Forb,Annual,Non-native,Non-native,CalFlora
OTL,4/13/25,F6,EROCIC,1,5,1,F,6,SEDG,Control,Erodium cicutarium,Non-native,Forb,Forb,Annual,Non-native,Non-native,CalFlora
OTL,4/13/25,F6,ESCCAL,1,1,1,F,6,SEDG,Control,Eschscholzia californica,Native,Forb,Forb,Perennial,Native,Native,CalFlora
OTL,4/13/25,F7,Bare,75,NA,1,F,7,WWP,Control,Bare Ground,NA,NA,NA,NA,NA,NA,NA
OTL,4/13/25,F7,Litter,0,NA,1,F,7,WWP,Control,Litter,NA,NA,NA,NA,NA,NA,NA
OTL,4/13/25,F7,AVEBAR,8,4,1,F,7,WWP,Control,Avena barbata,Non-native,Grass,Grass,Annual,Moderate,Invasive,Cal IPC
OTL,4/13/25,F7,BRODIA,3,2,1,F,7,WWP,Control,Bromus diandrus,Non-native,Grass,Grass,Annual,Moderate,Invasive,Cal IPC
OTL,4/13/25,F7,BROMAD,2,5,1,F,7,WWP,Control,Bromus madritensis,Non-native,Grass,Grass,Annual,High,Invasive,Cal IPC
OTL,4/13/25,F7,AMSMEN,1,7,1,F,7,WWP,Control,Amsinckia menziesii,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/13/25,F7,BROARE,2,8,1,F,7,WWP,Control,Bromus arenarius,Non-native,Grass,Grass,Annual,Non-native,Non-native,CalFlora
OTL,4/13/25,F7,UNK-CAR,1,1,1,F,7,WWP,Control,Anthriscus caucalis,Non-native,Forb,Forb,Annual,Non-native,Non-native,CalFlora
OTL,4/13/25,F7,LACSER,1,1,1,F,7,WWP,Control,Lactuca serriola,Non-native,Forb,Forb,Annual,Non-native,Non-native,CalFlora
OTL,4/14/25,G6,BROHOR,13,3,2,G,6,ANGELO,Control,Bromus hordeaceus,Non-native,Grass,Grass,Annual,Limited,Invasive,Cal IPC
OTL,4/14/25,G6,ESCCAL,9,4,2,G,6,ANGELO,Control,Eschscholzia californica,Native,Forb,Forb,Perennial,Native,Native,CalFlora
OTL,4/14/25,G6,MADGRA,21,2,2,G,6,ANGELO,Control,Madia gracilis,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/14/25,G6,SANBIP,2,5,2,G,6,ANGELO,Control,Sanicula bipinnatifida,Native,Forb,Forb,Perennial,Native,Native,CalFlora
OTL,4/14/25,G6,GALPAR,6,5,2,G,6,ANGELO,Control,Galium parisiense,Non-native,Forb,Forb,Annual,Non-native,Non-native,CalFlora
OTL,4/14/25,G6,CLAPUR,1,2,2,G,6,ANGELO,Control,Clarkia purpurea,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/14/25,G6,HYPGLA,5,2,2,G,6,ANGELO,Control,Hypochaeris glabra,Non-native,Forb,Forb,Annual,Limited,Invasive,Cal IPC
OTL,4/14/25,G6,LACSER,1,1,2,G,6,ANGELO,Control,Lactuca serriola,Non-native,Forb,Forb,Annual,Non-native,Non-native,CalFlora
OTL,4/14/25,G6,DAUPUS,1,0,2,G,6,ANGELO,Control,Daucus pusillus,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/14/25,G6,AIRCAR,1,2,2,G,6,ANGELO,Control,Aira caryophyllea,Non-native,Grass,Grass,Annual,Non-native,Non-native,CalFlora
OTL,4/14/25,G7,Bare,4,NA,2,G,7,ANGELO,Control,Bare Ground,NA,NA,NA,NA,NA,NA,NA
OTL,4/14/25,G7,Litter,0,NA,2,G,7,ANGELO,Control,Litter,NA,NA,NA,NA,NA,NA,NA
OTL,4/14/25,G7,AVEBAR,3,3,2,G,7,ANGELO,Control,Avena barbata,Non-native,Grass,Grass,Annual,Moderate,Invasive,Cal IPC
OTL,4/14/25,G7,BRODIA,4,2,2,G,7,ANGELO,Control,Bromus diandrus,Non-native,Grass,Grass,Annual,Moderate,Invasive,Cal IPC
OTL,4/14/25,G7,BROHOR,10,3,2,G,7,ANGELO,Control,Bromus hordeaceus,Non-native,Grass,Grass,Annual,Limited,Invasive,Cal IPC
OTL,4/14/25,G7,AIRCAR,1,2,2,G,7,ANGELO,Control,Aira caryophyllea,Non-native,Grass,Grass,Annual,Non-native,Non-native,CalFlora
OTL,4/14/25,G7,HYPGLA,3,2,2,G,7,ANGELO,Control,Hypochaeris glabra,Non-native,Forb,Forb,Annual,Limited,Invasive,Cal IPC
OTL,4/14/25,G7,DAUPUS,3,1,2,G,7,ANGELO,Control,Daucus pusillus,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/14/25,G7,MADGRA,8,1,2,G,7,ANGELO,Control,Madia gracilis,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/14/25,G7,GALPAR,12,3,2,G,7,ANGELO,Control,Galium parisiense,Non-native,Forb,Forb,Annual,Non-native,Non-native,CalFlora
